sheet,row,field,kind,input_type,normal_value,notes,template,mapped_r,map_status
BBANK - Blood Bank,25,VITAL SIGNS,test_input,Predefined Selection,"dapat meron na dropdownlist sa blood pressure, pulse rate, resparatory rate, temperature then mag iinput na lang ng result",,BBANK,R12,mapped
BBANK - Blood Bank,27,RELEASED BY,test_input,Manual Entry,,,BBANK,R13,mapped
BBANK - Blood Bank,28,RELEASED TO,test_input,Manual Entry,,,BBANK,R14,mapped
BBANK - Blood Bank,29,DATE/TIME,patient_header,Manual Entry,,,BBANK,,
BBANK - Blood Bank,31,Medical Technologist,signatory,Predefined Selection,,,BBANK,,
BBANK - Blood Bank,32,Medical Technologist,signatory,Predefined Selection,,,BBANK,,
BBANK - Blood Bank,33,Pathologist,signatory,Fixed including the signature,,,BBANK,,
ABG - Blood Gas Analysis,2,PATIENT INFORMATION,section_header,,,,ABG,,
ABG - Blood Gas Analysis,3,Name,patient_header,Manual Entry,,,ABG,,
ABG - Blood Gas Analysis,4,Age,patient_header,Manual Entry,,,ABG,,
ABG - Blood Gas Analysis,5,Sex,patient_header,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,6,Date,patient_header,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,7,Examination,patient_header,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,8,Requesting Physician,patient_header,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,9,Room,patient_header,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,10,Case Number,patient_header,Manual Entry,,,ABG,,
ABG - Blood Gas Analysis,11,Blood gas value (ABG),section_header,,,,ABG,,
ABG - Blood Gas Analysis,12,pH,test_input,Manual Entry,7.35-7.45,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,ABG,R1,mapped
ABG - Blood Gas Analysis,13,pO2,test_input,Manual Entry,80-105 mmHg,,ABG,R2,mapped
ABG - Blood Gas Analysis,14,pCO2,test_input,Manual Entry,35.0-45.0 mmHg,,ABG,R3,mapped
ABG - Blood Gas Analysis,15,Calculated values (OXIMETRY),section_header,,,,ABG,,
ABG - Blood Gas Analysis,16,sO2,test_input,Manual Entry,95-100 %,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,ABG,R4,mapped
ABG - Blood Gas Analysis,17,Calculated values (ACID BASE STATUS),section_header,,,,ABG,,
ABG - Blood Gas Analysis,18,HCO3,test_input,Manual Entry,22-28 mmol/L,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,ABG,R5,mapped
ABG - Blood Gas Analysis,19,BE(ecf),test_input,Manual Entry,-2 to +2 mmol/L,,ABG,R6,mapped
ABG - Blood Gas Analysis,20,pO2(A-a),test_input,Manual Entry,5-10 mmHg,,ABG,R7,mapped
ABG - Blood Gas Analysis,21,TCO2,test_input,Manual Entry,23-29 mmol/L,,ABG,R8,mapped
ABG - Blood Gas Analysis,23,NOTE,other_input,Manual Entry,,,ABG,,
ABG - Blood Gas Analysis,25,Medical Technologist,signatory,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,26,Medical Technologist,signatory,Predefined Selection,,,ABG,,
ABG - Blood Gas Analysis,27,Pathologist,signatory,Fixed including the signature,,,ABG,,
HIV 1&2 TESTING - Serology,2,PATIENT INFORMATION,section_header,,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,3,Name,patient_header,Manual Entry,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,4,Age,patient_header,Manual Entry,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,5,Sex,patient_header,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,6,Date,patient_header,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,7,Examination,patient_header,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,8,Requesting Physician,patient_header,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,9,Room,patient_header,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,10,Case Number,patient_header,Manual Entry,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,12,LOT NUMBER,test_input,Manual Entry,,,SEROLOGYI,R1,mapped
HIV 1&2 TESTING - Serology,14,TEST RESULT,test_input,Predefined Selection,,,SEROLOGYI,R1,mapped
HIV 1&2 TESTING - Serology,16,Medical Technologist,signatory,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,17,Medical Technologist,signatory,Predefined Selection,,,SEROLOGYI,,
HIV 1&2 TESTING - Serology,18,Pathologist,signatory,Fixed including the signature,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,2,PATIENT INFORMATION,section_header,,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,3,Name,patient_header,Manual Entry,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,4,Age,patient_header,Manual Entry,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,5,Sex,patient_header,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,6,Date,patient_header,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,7,Examination,patient_header,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,8,Requesting Physician,patient_header,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,9,Room,patient_header,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,10,Case Number,patient_header,Manual Entry,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,12,TEST RESULT,test_input,Predefined Selection,,,SEROLOGYI,R1,mapped
COVID 19 ANTIGEN (RAPID TEST) -,14,Medical Technologist,signatory,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,15,Medical Technologist,signatory,Predefined Selection,,,SEROLOGYI,,
COVID 19 ANTIGEN (RAPID TEST) -,16,Pathologist,signatory,Fixed including the signature,,,SEROLOGYI,,
"PROTIME, APTT - Hematology",2,PATIENT INFORMATION,section_header,,,,COAG,,
"PROTIME, APTT - Hematology",3,Name,patient_header,Manual Entry,,,COAG,,
"PROTIME, APTT - Hematology",4,Age,patient_header,Manual Entry,,,COAG,,
"PROTIME, APTT - Hematology",5,Sex,patient_header,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",6,Date,patient_header,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",7,Examination,patient_header,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",8,Requesting Physician,patient_header,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",9,Room,patient_header,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",10,Case Number,patient_header,Manual Entry,,,COAG,,
"PROTIME, APTT - Hematology",11,PRO TIME,section_header,,NOTE: ALL RESULTS ABOVE OR BELOW NORMAL VALUE MAKE IT RED,,COAG,,
"PROTIME, APTT - Hematology",12,TEST,test_input,Manual Entry,10.0-13.9 seconds,,COAG,R1,mapped
"PROTIME, APTT - Hematology",13,CONTROL,test_input,Manual Entry,SECONDS,,COAG,R1,mapped
"PROTIME, APTT - Hematology",14,INR,test_input,Manual Entry,0.70-1.30,,COAG,R2,mapped
"PROTIME, APTT - Hematology",15,% ACTIVITY,test_input,Manual Entry,% ACTIVITY,,COAG,R3,mapped
"PROTIME, APTT - Hematology",16,APTT,section_header,,,,COAG,,
"PROTIME, APTT - Hematology",17,TEST,test_input,Manual Entry,22.2-37.9 seconds,,COAG,R4,mapped
"PROTIME, APTT - Hematology",18,CONTROL,test_input,Manual Entry,SECONDS,,COAG,R4,mapped
"PROTIME, APTT - Hematology",20,Medical Technologist,signatory,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",21,Medical Technologist,signatory,Predefined Selection,,,COAG,,
"PROTIME, APTT - Hematology",22,Pathologist,signatory,Fixed including the signature,,,COAG,,
